id,year,bbl,organization_name,dbn,short_dbn,project_title,project_type,organization_address,requested_amt,requested_amt_c,funding,funding_c,lat,lng,CounDist,BoroCD
1316,2020,1004080030,New Design High School,02M543,M543,Technology Upgrade,Public School,"350 Grand Street, New York, NY, 10002",,,"$50,000",50000,40.71748,-73.98932,1,103
412,2016,1004080030,Seward Park High School (Campus),02M445,M445,Bathroom Renovations,Public School,"350 Grand St, New York, NY 10002",,,75000,75000,40.71678,-73.98934,1,103
186,2015,1004140051,Lower East Side Tenement Museum,,,"103 Orchard Street Phase 2
Renovations",Cultural Organization,"103 Orchard Street, New York, NY  10002-3132",,,"$75,000",75000,40.71859,-73.99001,1,103
334,2016,1004140051,Lower East Side Tenement Museum,,,103 Orchard Street Project,Cultural Organization,103 Orchard Street,,,75000,75000,40.71859,-73.99001,1,103
505,2017,1004140051,Lower East Side Tenement Museum,,,103 Orchard Street Equipment Systems,Cultural Organization,"103 Orchard Street, New York, NY 10002",,,85000,85000,40.71859,-73.99001,1,103
739,2018,1004140059,Lower East Side Tenement Museum,,,97 Orchard St. Preservation/ Restoration,Cultural Organization,"91 Orchard Street,
10002",,,200000,200000,40.71825,-73.99018,1,103
64,2014,1004140059,Lower Eastside Tenement Museum,,,Conversion/Renovation Project,Cultural Organization,91 Orchard Street,"* 250,000.00",250000,230000,230000,40.71825,-73.99018,1,103
448,2016,1004150018,University Settlement,,,Boiler Replacement,Cultural Organization,184 Eldridge Street,,,150000,150000,40.72065,-73.99067,1,103
1274,2020,1004170001,Hernandez Houses,,,Rafael Hernandez Houses Grounds Improvement Projecct,Housing,"189 Allen Street New York, NY 10002",,,"$250,000",250000,40.72231,-73.98952,1,103
235,2015,1004200001,Sara D. Roosevelt Park,,,Sara D. Roosevelt Park Renovations,Park,"Chrystie St. & Stanton St., New York, NY
10002",,,"$250,000",250000,40.72166,-73.9916,1,103
409,2016,1004200001,Sara D. Roosevelt Park,,,Pathways Renovation,Park,"1753 Park Avenue, 2nd Floor",,,200000,200000,40.72166,-73.9916,1,103
601,2017,1004200001,Sara D. Roosevelt Park,,,Sara Roosevelt Park Pathways and Fencing Renovation,Park,167-191 Forsyth Street,,,300000,300000,40.72166,-73.9916,1,103
848,2018,1004200001,Sara D. Roosevelt Park,,,Reconstruction of Park Pathways,Park,"Chrystie St & Forsyth St, New York, NY 10002",,,200000,200000,40.72166,-73.9916,1,103
467,2017,1004220072,Cascades High School,01M650,M650,Classroom Technology Upgrade,Public School,"198 Forsyth Street, New York, NY 10002, 2nd Floor",,,100000,100000,40.72252,-73.99073,1,103
700,2018,1004220072,Forsyth Satellite Academy,01M458,M458,Student Restroom Renovations,Public School,"198 Forsyth Street, New York, NY 10002, 2nd Floor",,,75000,75000,40.72252,-73.99073,1,103
970,2019,1004220072,Forsyth Satellite Academy,01M458,M458,Technology Upgrades,Public School,"198 Forsyth Street, New York, NY 10002, 2nd Floor",,,"$100,000",100000,40.72242,-73.99049,1,103
1259,2020,1004220072,Forsyth Satellite Academy,01M458,M458,Bathroom Upgrade/Repair,Public School,"198 Forsyth Street, New York, NY 10002, 2nd Floor",,,"$80,000",80000,40.72242,-73.99049,1,103
209,2015,1004257501,"Open Channels New York, Inc., (Dixon Place)",,,Audio System Upgrade,Cultural Organization,"161A Chrystie St, New York, NY 10009",,,"$35,000",35000,40.72062,-73.99257,1,103
1181,2019,1004260010,The New Museum of Contemporary Art,,,Resin 3D Printer for NEW INC Incubator,Cultural Organization,"231 Bowery New York, NY 10002",,,"$38,000",38000,40.72216,-73.99289,1,103
1435,2020,1004260010,The New Museum of Contemporary Art,,,Capital Expansion,Cultural Organization,"231 Bowery New York, NY 10002",,,"$100,000",100000,40.72216,-73.99289,1,103
1182,2019,1004260012,The New Museum of Contemporary Art,,,Resin 3D Printer for NEW INC Incubator,Cultural Organization,"235 Bowery New York, NY 10002",,,"$38,000",38000,40.72235,-73.99283,1,103
1027,2019,1004310014,McKinley Playground,,,Playground Renovation,Park,"121 East 3rd Street
New York, NY 10009",,,"$414,000",414000,40.72444,-73.98631,2,103
585,2017,1004310014,P.S. 63 The STAR Academy,01M063,M063,Video Surveillance Camera,Public School,121 East 3rd Street,,,50000,50000,40.72412,-73.98638,2,103
1121,2019,1004310014,P.S. 63 The STAR Academy,01M063,M063,Technology Upgrades,Public School,"121 East 3rd Street New York, NY 10009",,,"$100,000",100000,40.72444,-73.98631,2,103
1388,2020,1004310014,P.S. 63 The STAR Academy,01M063,M063,Technology Upgrade,Public School,"121 East Third Street New York, NY 10009",,,"$75,000",75000,40.72444,-73.98631,2,103
438,2016,1004310014,The Neighborhood School,01M363,M363,Kitchen Renovation,Public School,"121 E 3rd St, New York, NY 10009",,,150000,150000,40.72412,-73.98638,2,103
1028,2019,1004310040,McKinley Playground,,,Playground Renovation,Park,,,,"$414,000",414000,40.72424,-73.9858,2,103
341,2016,1004370001,Mabou Mines Development Foundation,,,New Theatre Initiative,Cultural Organization,150 First Avenue,,,75000,75000,40.72826,-73.98479,2,103
749,2018,1004370001,Mabou Mines Development Foundation,,,Initial Outfitting - New Theater,Cultural Organization,"150 First Avenue
10009",,,51000,51000,40.72826,-73.98479,2,103
1031,2019,1004370001,"Movement Research, Inc.",,,IT System,Cultural Organization,"150 First Avenue New York, NY 10009",,,"$38,000",38000,40.72819,-73.98442,2,103
1032,2019,1004370001,"Movement Research, Inc.",,,IT System,Social Services Organization,150 First Avenue New York NY 10009,,,"$38,000",38000,40.72819,-73.98442,2,103
129,2014,1004370001,"The 122 Community Center, Inc.",,,Renovation and New Construction Project,Cultural Organization,150 First Avenue,"* 500,000.00",500000,400000,400000,40.72826,-73.98479,2,103
243,2015,1004370001,"The 122 Community Center, Inc.",,,"122CC Code Renovation and New
Addition",Cultural Organization,"150 First Avenue, New York, NY  10009",,,"$45,000",45000,40.72826,-73.98479,2,103
421,2016,1004370001,"The 122 Community Center, Inc.",,,Outfitting of Theatre,Cultural Organization,150 First Avenue,,,75000,75000,40.72826,-73.98479,2,103
610,2017,1004370001,"The 122 Community Center, Inc.",,,122CC Code Renovation and New Addition,Cultural Organization,"150 First Avenue, New York, NY 10009",,,100000,100000,40.72826,-73.98479,2,103
863,2018,1004370001,"The 122 Community Center, Inc.",,,LED Lighting Systems,Cultural Organization,"150 First Avenue, New York, NY 10009",,,92000,92000,40.72826,-73.98479,2,103
864,2018,1004370001,"The 122 Community Center, Inc.",,,PV467-122 Phase 4,Cultural Organization,"150 First Avenue, New York, NY 10009",,,35000,35000,40.72826,-73.98479,2,103
1161,2019,1004370001,"The 122 Community Center, Inc.",,,Roof Terrace Pavers,Cultural Organization,"150 First Avenue, New York, NY 10009",,,"$100,000",100000,40.72819,-73.98442,2,103
1162,2019,1004370001,"The 122 Community Center, Inc.",,,Roof Terrace Pavers,Cultural Organization,"150 First Avenue, New York, NY 10009",,,"$100,000",100000,40.72819,-73.98442,2,103
485,2017,1004390017,East Side Community High School,01M450,M450,Classroom Technology Upgrade,Public School,"420 East 12th Street, New York, NY 10009",,,100000,100000,40.72959,-73.98256,2,103
690,2018,1004390017,East Side Community High School,01M450,M450,"East Side Community Health, Recreation, and Arts Center Scoping Project",Public School,"420 East 12th Street, New York, NY 10009",,,65000,65000,40.72959,-73.98256,2,103
1254,2020,1004390017,East Side Community High School,01M450,M450,Technology Upgrade,Public School,"420 East 12th Street, New York, NY 10009",,,"$100,000",100000,40.72915,-73.98268,2,103
1461,2020,1004480004,Women's Prison Association,,,Construction and Renovation,Social Services Organization,"110 Second Avenue New York, NY 10003",,,"$300,000",300000,40.72755,-73.98799,2,103
1447,2020,1004517502,Theater for the New City Foundation Inc,,,Cino Theater Renovation Project,Cultural Organization,"155 First Avenue New York, NY 10003",,,"$100,000",100000,40.72881,-73.98529,2,103
142,2014,1004517502,"Theater for the New City Foundation, Inc.",,,Demolition/ Facility Upgrade,Cultural Organization,155 First Avenue,"* 250,000.00",250000,100000,100000,40.72851,-73.98463,2,103
446,2016,1004517502,"Theater for the New City Foundation, Inc.",,,Lighting Equipment,Cultural Organization,155 First Avenue,,,40000,40000,40.72851,-73.98463,2,103
636,2017,1004517502,"Theater for the New City Foundation, Inc.",,,A new Seamless roof and HVACs,Cultural Organization,"155 First Avenue, New York NY 10003",,,100000,100000,40.72851,-73.98463,2,103
893,2018,1004517502,"Theater for the New City Foundation, Inc.",,,Roof Replacement/Renovation,Cultural Organization,155 First Avenue 10003,,,250000,250000,40.72851,-73.98463,2,103
1187,2019,1004517502,"Theater for the New City Foundation, Inc.",,,New Lighting Package,Cultural Organization,"155 First Avenue New York, NY 10003",,,"$50,000",50000,40.72881,-73.98529,2,103
1188,2019,1004517502,"Theater for the New City Foundation, Inc.",,,New Lighting Package,Cultural Organization,"155 First Avenue New York, NY 10003",,,"$50,000",50000,40.72881,-73.98529,2,103
92,2014,1004530034,P.S. 019 Asher Levy,01M019,M019,Auditorium Seating and Gymnasium Lighting Upgrade,Public School,185 First Avenue,"* 200,000.00",200000,200000,200000,40.72964,-73.98382,2,103
215,2015,1004530034,P.S. 019 Asher Levy,01M019,M019,PA System Upgrade,Public School,"185 First Avenue, New York, NY 10003",,,"$80,000",80000,40.72964,-73.98382,2,103
784,2018,1004530034,P.S. 019 Asher Levy,01M019,M019,PS19 - Asher Levy School Schoolyard Renovation,Public School,"185 First Avenue, New York, N.Y., 10003",,,350000,350000,40.72964,-73.98382,2,103
1084,2019,1004530034,P.S. 019 Asher Levy,01M019,M019,Playground,Public School,"185 First Avenue New York, NY 10003",,,"$50,000",50000,40.72989,-73.98423,2,103
1339,2020,1004530034,P.S. 019 Asher Levy,01M019,M019,Technology Upgrade,Public School,"185 First Avenue  New York, NY 10003",,,"$50,000",50000,40.72989,-73.98423,2,103
395,2016,1004580011,"Project Renewal, Inc.",,,Renovation of 3rd Street Shelter Yard,Housing,"8 E 3rd St New York, NY 10003",,,221000,221000,40.72615,-73.99124,2,103
1134,2019,1004580011,"Project Renewal, Inc.",,,Third Street Shelter Commercial Kitchen,Housing,"8 East Third Street New York, NY 10003",,,"$100,000",100000,40.72586,-73.99111,2,103
1133,2019,1004580011,"Project Renewal, Inc.",,,Third Street Shelter Commercial Kitchen,Housing,"8 East Third Street New York, NY 10003",,,"$100,000",100000,40.72586,-73.99111,2,103
862,2018,1004590018,Teatro Circulo. Ltd,,,64 East 4t St.,Cultural Organization,64 East 4th Street 10003,,,150000,150000,40.72667,-73.99058,2,103
290,2016,1004590021,Downtown Art Co.,,,Phase 2: East 4th Street,City Facility,70 East 4th Street,,,75000,75000,40.72656,-73.99033,2,103
1010,2019,1004590023,"La MaMa Experimental Theater Club, Inc.",,,Phase 2 Renovation of 74 East 4th Street,Cultural Organization,"74A East 4th Street New York, NY 10003",,,"$100,000",100000,40.72633,-73.9902,2,103
1009,2019,1004590023,"La MaMa Experimental Theater Club, Inc.",,,Phase 2 Renovation of 74 East 4th Street,Cultural Organization,"74A East 4th Street New York, NY 10003",,,"$100,000",100000,40.72633,-73.9902,2,103
1286,2020,1004590023,"La MaMa Experimental Theater Club, Inc.",,,Phase 2 Renovation,Cultural Organization,"74 East 4th Street New York, NY 1003",,,"$250,000",250000,40.72633,-73.9902,2,103
59,2014,1004590023,"La Mama Experimental Theatre Club, Inc.",,,"Restoration, Repair/ Renovation of  Property Project",Cultural Organization,74A East 4th Street,"* 500,000.00",500000,500000,500000,40.72643,-73.99012,2,103
183,2015,1004590023,"La MaMa Experimental Theatre Club, Inc.",,,74 East 4th St. Renovation & Restoration,Cultural Organization,"74A East 4th Street, New York, NY  10003",,,"$150,000*",150000,40.72643,-73.99012,2,103
329,2016,1004590023,"La MaMa Experimental Theatre Club, Inc.",,,Renovation of 74A East 4th Street,Cultural Organization,74 A East 4th Street,,,150000,150000,40.72643,-73.99012,2,103
501,2017,1004590023,"La MaMa Experimental Theatre Club, Inc.",,,Renovation of 74A East 4th Street,Cultural Organization,"74A East 4th Street, New York, NY 10003",,,150000,150000,40.72643,-73.99012,2,103
735,2018,1004590023,"La MaMa Experimental Theatre Club, Inc.",,,Renovation of 74A East 4th Street,Cultural Organization,74A East 4th Street 10003,,,250000,250000,40.72643,-73.99012,2,103
774,2018,1004600045,"New York Theatre Workshop, Inc",,,Theatrical Lighting System,Cultural Organization,83 East 4th Street 10003,,,42000,42000,40.72642,-73.98996,2,103
1323,2020,1004600045,"New York Theatre Workshop, Inc.",,,Building Expansion,Cultural Organization,"83 East 4th Street New York, NY 10003",,,"$100,000",100000,40.72661,-73.98989,2,103
534,2017,1004600046,"New York Theatre Workshop, Inc",,,Flexible Seating System,Cultural Organization,"79 East 4th Street, New York, NY 10003",,,35000,35000,40.72648,-73.9901,2,103
5,2014,1004600056,"ARC on 4th Street, Inc.",,,Building Renovation Completion Project,Cultural Organization,59-61 East 4th Street,"* 500,000.00",500000,0,0,40.72679,-73.99081,2,103
460,2017,1004600056,"ARC on 4th Street, Inc.",,,Greening and ADA Compliance Project,Cultural Organization,"61 East 4th Street, New York, NY 10003",,,150000,150000,40.72676,-73.99074,2,103
25,2014,1004600056,"Creative Time , Inc.",,,Infrastructure and interior space Renovation Project,Cultural Organization,"59 East 4th Street, 6th Fl.","* 100,000.00",100000,100000,100000,40.72679,-73.99081,2,103
40,2014,1004600056,"Downtown Art Company, Inc.",,,Additional Funding - Phase I Renovation Completion Project - 70 East 4th Street,Cultural Organization,61 East 4th Street,"* 240,000.00",240000,0,0,40.72676,-73.99074,2,103
47,2014,1004600056,"Fourth Arts Block, Inc.",,,East 4th Street Cultural District Green Infrastructure Program Project,Cultural Organization,61 East 4th Street,"* 545,568.00",545568,292000,292000,40.72676,-73.99074,2,103
981,2019,1004660025,Greenwich Village Society for Historic Preservation,,,Greenwich Village Historic District 50th Anniversary Celebration,Cultural Organization,"232 East 11th Street New York, NY",,,"$2,000.00",2000,40.7306,-73.98731,2,103
124,2014,1004677501,Society of Third Street Music School Settlement,,,Public Service Area Improvement Project,Cultural Organization,235 East 11th Street,"* 100,000.00",100000,0,0,40.73081,-73.98736,2,103
606,2017,1004677501,Society of Third Street Music School Settlement,,,Technology Upgrades Project,Cultural Organization,"235 E. 11th Street, New York, NY 10003",,,52000,52000,40.73081,-73.98736,2,103
1288,2020,1004750018,Leslie-Lohman Museum of Gay and Lesbian Art,,,Expansion and Renovation Project,Cultural Organization,"26-28 Wooster Street, New York, NY 10013",,,"$200,000",200000,40.72282,-74.00248,1,102
974,2019,1004777501,Fund for the City of New York/NYC LGBT Historic Sites Project,,,Stonewall 50: NYC LGBT History Public Programs and Walking Tours App,Cultural Organization,"121 Sixth Avenue New York, NY",,,"$2,000.00",2000,40.72412,-74.00514,3,102
1241,2020,1004910016,Chelsea Career and Technical Education High School,02M615,M615,Technology Upgrade,Public School,131 Avenue of the Americas,,,"$100,000",100000,40.72463,-74.00506,3,102
208,2015,1004910016,NYC iSchool,02M376,M376,Greenhouse Project,Public School,"131 Avenue of the Americas, 5th Floor, New York, NY 10013",,,"$50,000",50000,40.7244,-74.00463,3,102
355,2016,1004910016,NYC iSchool,02M376,M376,Greenroof,Public School,131 Avenue of the Americas,,,100000,100000,40.7244,-74.00463,3,102
536,2017,1004910016,NYC iSchool,02M376,M376,Classroom Technology Upgrade,Public School,131 Avenue of the Americas,,,100000,100000,40.7244,-74.00463,3,102
53,2014,1004917502,Home for Contemporary Theatre and Art,,,Theatre Upgrade/ Expansion Project,Cultural Organization,145 - 6th Avenue,"* 66,301.57",66302,62000,62000,40.72507,-74.00483,3,102
176,2015,1004917502,Home for Contemporary Theatre and Art,,,HERE Audio Equipment/Music Enhancement,Cultural Organization,"145 Sixth Avenue, New York, NY 10013",,,"$38,000",38000,40.72497,-74.00448,3,102
316,2016,1004917502,Home for Contemporary Theatre and Art,,,Office Equipment Upgrade,Cultural Organization,145 6th Avenue,,,35000,35000,40.72497,-74.00448,3,102
494,2017,1004917502,Home for Contemporary Theatre and Art,,,HERE LED Lighting System,Social Services Organization,"145 Sixth Avenue, New York, NY 10013",,,41000,41000,40.72497,-74.00448,3,102
721,2018,1004917502,Home for Contemporary Theatre and Art,,,HEREs AV Wireless System,Social Services Organization,"145 6th Avenue, 10013",,,38000,38000,40.72497,-74.00448,3,102
705,2018,1005040043,God's Love We Deliver Inc,,,Refrigerated Delivery Van for Manhattan,Social Services Organization,166 Avenue of Americas,,,46000,46000,40.72562,-74.00398,3,102
207,2015,1005067501,New York Public Radio,,,NYPR Local Area Network,Cultural Organization,"160 Varick Street, New York, NY 10013",,,"$135,000",135000,40.72662,-74.00562,3,102
56,2014,1005190070,"Hudson Square District Management Association, Inc.",,,Streetscape Improvement Plan,Social Services Organization,"180 Varick Street, Suite 422","* 760,000.00",760000,0,0,40.72748,-74.00548,3,102
698,2018,1005200001,"Film Forum, Inc.",,,Theater Seating System,Cultural Organization,"209 West Houston Street, 10014",,,112000,112000,40.72849,-74.00425,3,102
227,2015,1005210037,"Planned Parenthood of New York City, Inc.",,,Call Center Equipment,Social Services Organization,"26 Bleecker Street, New York, NY 10012",,,"$100,000",100000,40.72556,-73.99349,1,102
934,2019,1005320020,"CITYarts, Inc",,,SoHo Artists History Walking Tour,Cultural Organization,"77 Bleecker Street, Suite C2-18 New York City, NY",,,"$2,000.00",2000,40.72701,-73.99604,1,102
533,2017,1005440016,New York Shakespeare Festival,,,ELEVATOR RENOVATION,Cultural Organization,"425 Lafayette Street, New York, NY 10003",,,185000,185000,40.72893,-73.99222,2,102
520,2017,1005440071,Merchant's House Museum,,,Slate Roof and Fire Escape Renovation,Cultural Organization,29 East 4th Street,,,250000,250000,40.72758,-73.99253,2,102
714,2018,1005450026,Harvey Milk High School,02M586,M586,Public Address system and presentation equipment,Public School,"2 Astor Place 3rd Floor New York, NY 10003",,,47000,47000,40.73004,-73.99263,2,102
1272,2020,1005450026,Harvey Milk High School,02M586,M586,Technology Upgrade,Public School,"2 Astor Place 3rd Floor New York, NY 10003",,,"$100,000",100000,40.72978,-73.99274,2,102
773,2018,1005450026,New York Shakespeare Festival,,,Artist Rehearsal and New Work Development,Cultural Organization,"440 Lafayette Street, New York, NY 10003",,,300000,300000,40.72933,-73.99191,2,102
228,2015,1005450026,"Playwrights Horizons, Inc",,,440 Lafayette St Renovations,Cultural Organization,"440 Lafayette Street, New York, NY 10003",,,"$75,000",75000,40.72933,-73.99191,2,102
393,2016,1005450026,"Playwrights Horizons, Inc",,,440 Lafayette Renovations,Cultural Organization,440 Lafayette Street,,,75000,75000,40.72933,-73.99191,2,102
307,2016,1005640045,GrowNYC,,,Initial Outfitting of Education Center,Social Services Organization,134 Fourth Ave,,,150000,150000,40.73329,-73.98993,2,102
23,2014,1005810054,City-As-School High School,02M560,M560,Media Arts Education Infrastructure,Public School,16 Clarkson Street,"* 575,000.00",575000,306000,306000,40.72941,-74.00615,3,102
162,2015,1005810054,City-As-School High School,02M560,M560,Construction of Media/Science Lab,Public School,"16 Clarkson Street, New York, NY 10014",,,"$200,000",200000,40.72941,-74.00615,3,102
472,2017,1005810054,City-As-School High School,02M560,M560,Hydroponics Learning Infrastructure,Public School,16 Clarkson Street,,,100000,100000,40.72941,-74.00615,3,102
933,2019,1005810054,City-As-School High School,02M560,M560,Hydroponics Learning Infrastructure,Public School,"16 Clarkson Street, New York, NY 10014",,,"$35,000",35000,40.72905,-74.00615,3,102
1243,2020,1005810054,City-As-School High School,02M560,M560,Technology Upgrade,Public School,"16 Clarkson Street 
New York, NY 10014",,,"$75,000",75000,40.72905,-74.00615,3,102
1394,2020,1005810054,P.S. M721 - Manhattan Occupational Training Center,75M721,M721,Technology Upgrade,Public School,"250 W. Houston St.  New York, NY 10014",,,"$75,000",75000,40.72905,-74.00615,3,102
1126,2019,1005810054,P.S. M721 Manhattan Occupational Training Center,75M721,M721,721M Fitness Center Renovation,Public School,"250 W. Houston St.  New York, NY 10014",,,"$250,000",250000,40.72905,-74.00615,3,102
781,2018,1005850041,P.S. 003 Charrette School,02M003,M003,Outlet Project,Public School,"490 Hudson Street, New York, NY 10014",,,90000,90000,40.73259,-74.00647,3,102
1078,2019,1005850041,P.S. 003 Charrette School,02M003,M003,Technology Upgrades,Public School,"490 Hudson Street New York, NY 10014",,,"$100,000",100000,40.73263,-74.00598,3,102
904,2019,1005870037,7th Avenue South Alliance,,,Historic Light Fixtures,Cultural Organization,"7th Avenue South, New York, NY 10014",,,$0,0,40.73133,-74.00441,3,102
1299,2020,1006030049,M.S. 297,02M297,M297,Hydroponics Lab,Public School,"75 Morton Street New York, NY 10014",,,"$50,000",50000,40.73137,-74.0075,3,102
854,2018,1006040033,"Soho Think Tank, Inc.",,,Audio/Visual System for New Ohio Theatre,Cultural Organization,"154 Christopher Street #1E, 10014",,,35000,35000,40.73273,-74.00813,3,102
327,2016,1006060001,Jefferson Market Library,,,Bathroom Renovation,Library,"425 Avenue of the Americas, New York, NY 10011",,,250000,250000,40.73432,-73.99907,3,102
788,2018,1006060049,P.S. 041 Greenwich Village,02M041,M041,One to One. Device for all children,Public School,116 W 11th Street,,,100000,100000,40.73569,-73.99903,3,102
1090,2019,1006060049,P.S. 041 Greenwich Village,02M041,M041,Technology Upgrades,Public School,"116 W. 11th St. New York, NY 10019",,,"$100,000",100000,40.73553,-73.99926,3,102
1344,2020,1006060049,P.S. 041 Greenwich Village,02M041,M041,Water Fountains,Public School,"116 W. 11th St. New York, NY 10019",,,"$50,000",50000,40.73553,-73.99926,3,102
1236,2020,1006090031,Center For Urban Community Services,,,14th Street Safe Haven & Drop In Center,Housing,"112-114 West 14th Street New York, NY 10011",,,"$90,000",90000,40.73745,-73.9978,3,102
1138,2019,1006130023,"Rattlestick Productions, Inc.",,,LOCKDOWN by Cori Thomas: Post-Show Conversation Series,Cultural Organization,"224 Waverly Place New York, NY",,,"$2,000.00",2000,40.73623,-74.00207,3,102
1404,2020,1006130023,"Rattlestick Productions, Inc.",,,Waverly Theater Renovation,Cultural Organization,"224 Waverly Place New York, NY 10014",,,"$100,000",100000,40.73623,-74.00207,3,102
203,2015,1006170001,"New York City AIDS Memorial, Inc",,,NYC AIDS Memorial Construction,Social Services Organization,"76 Greenwich Avenue, New York, NY 10011",,,"$100,000",100000,40.7368,-74.00122,3,102
85,2014,1006170001,"NYC AIDS Memorial, Inc.",,,NYC AIDS Memorial Project,Social Services Organization,P.O. Box 23,"* 1,000,000.00",1000000,1000000,1000000,40.73714,-74.0012,3,102
503,2017,1006170047,"Lesbian & Gay Community Services Center, Inc",,,"Windows, Facade, & Electronic Key Access",Social Services Organization,"208 W 13th St, New York NY 10011",,,250000,250000,40.73803,-74.0006,3,102
1211,2019,1006280004,Whitney Museum of American Art,,,Days End Public Art Instl at Gans Penin,Cultural Organization,"Gansevoort Street New York, NY 10014",,,"$100,000",100000,40.73988,-74.00572,3,102
1212,2019,1006280004,Whitney Museum of American Art,,,Days End Public Art Instl at Gans Penin,Cultural Organization,"Gansevoort Street New York, NY 10014",,,"$100,000",100000,40.73988,-74.00572,3,102
703,2018,1006440010,"Friends of the High Line, Inc.",,,Repairs and Renovations,Park,"820 Washington Street, New York, NY, 10014",,,100000,100000,40.73959,-74.00804,3,102
973,2019,1006440010,"Friends of the High Line, Inc.",,,High Line Capital Repairs and Renovations,Park,"820 Washington Street, NY, NY 10014",,,$0,0,40.73974,-74.00854,3,102
1261,2020,1006440010,"Friends of the High Line, Inc.",,,High Line Capital Repairs and Renovations,Park,"820 Washington Street New York, NY, 10014",,,"$100,000",100000,40.73974,-74.00854,3,102
147,2014,1006440010,Whitney Museum of American Art,,,Expansion / New Construction Project,Cultural Organization,93 Gansevoort Street,"* 500,000.00",500000,500000,500000,40.73939,-74.00875,3,102
55,2014,1006560001,Hudson River Park Trust,,,HRP Pier 40 Roof Repair & HRP Clinton Cove Lawn Upgrade,Park,"353 West Street @ Hudson Street (Pier 40, 2nd Fl.)","* 650,000.00",650000,500000,500000,40.72972,-74.01062,3,102
495,2017,1006560001,Hudson River Park Trust,,,Chelsea Waterside Park,Park,"353 West Street, Pier 40, 2nd Fl.",,,119000,119000,40.72972,-74.01062,3,102
992,2019,1006560001,Hudson River Park Trust,,,Restoration of Pier 25 Playground,Park,"353 West Street, Pier 40, 2nd Fl.",,,"$250,000",250000,40.72872,-74.01298,3,102
723,2018,1006560007,Hudson River Park Trust,,,Pier 45 Hex Paver Restoration,Park,"West 10th Street, New York, NY 10014",,,230000,230000,40.73308,-74.01113,3,102
995,2019,1006620011,"Ice Theatre of New York, Inc.",,,ITNY Performances: Multiple Manhattan Locations including Rockefeller Center,Cultural Organization,"62 Chelsea Piers Suite 308 New York, NY",,,"$2,000.00",2000,40.7456,-74.00997,3,104
178,2015,1006690017,Hudson River Park Trust,,,Upgrade of Pier 25 and Hubert Street Dogrun Gates,Park,"Hubert Street and West Street, New York, NY 10013",,,"$85,000",85000,40.74882,-74.00752,3,104
177,2015,1006690017,Hudson River Park Trust,,,Refurbish Chelsea Waterside Park Basketball Court,Park,"West 23 Street and 11th Avenue, New York, NY 10011",,,"$50,000",50000,40.74945,-74.00719,3,104
1267,2020,1006900040,"Haleakala, Inc.",,,The Kitchen’s Building Renovation,Cultural Organization,"512 West 19th Street New York, NY 10011",,,"$100,000",100000,40.74538,-74.00688,3,104
44,2014,1006920053,Eyebeam,,,Projection System Upgrade Project,Cultural Organization,540 West 21st Street,"$98, 579.84",98580,0,0,40.74697,-74.00648,3,104
39,2014,1006940014,DIA Center for the Arts / (Dia Art Foundation),,,Renovation Project,Cultural Organization,535 West 22nd Street,"* 250,000.00",250000,0,0,40.7475,-74.00576,3,104
318,2016,1007150010,Hudson Guild Inc. Renovation,,,Fulton Center Renovation,Social Services Organization,119 9th Avenue,,,250000,250000,40.74317,-74.00376,3,104
722,2018,1007150010,Hudson Guild Inc. Renovation,,,Fulton Center Renovation,Social Services Organization,"119 - 9th Avenue New York, NY 10011",,,250000,250000,40.74327,-74.00408,3,104
54,2014,1007240010,Hudson Guild Inc. Renovation,,,Hudson Guild Children's Renovation Project,Social Services Organization,441 West 26th Street,"* 520,169.00",520169,0,0,40.7492,-74.00182,3,104
786,2018,1007240023,P.S. 033 Chelsea Prep,02M033,M033,Classroom Technology Upgrade,Public School,"281 Ninth Avenue,
New York, NY 10001",,,100000,100000,40.74882,-73.99965,3,104
1087,2019,1007240023,P.S. 033 Chelsea Prep,02M033,M033,Technology Upgrades,Public School,"281 Ninth Avenue New York, NY 10001",,,"$100,000",100000,40.74894,-74.00037,3,104
1341,2020,1007240023,P.S. 033 Chelsea Prep,02M033,M033,Kitchen Upgrade,Public School,"281 Ninth Avenue 
New York, NY 10001",,,"$70,000",70000,40.74894,-74.00037,3,104
9,2014,1007390001,Atlantic Theater Company,,,Mainstage Theater Restoration Project,Cultural Organization,"76 Ninth Avenue, Suite 537","* 250,000.00",250000,200000,200000,40.74192,-74.00466,3,104
652,2018,1007390001,Atlantic Theater Company,,,Atlantic Stage 2 Renovation,Cultural Organization,"76 Ninth Avenue, Suite 537",,,100000,100000,40.74192,-74.00466,3,104
202,2015,1007410010,N.Y.C. Lab School for Collaborative Studies,02M412,M412,Laptops and Security Carts,Public School,"333 West 17th Street, New York, NY 10011",,,"$35,000",35000,40.74213,-74.0022,3,104
527,2017,1007410010,N.Y.C. Lab School for Collaborative Studies,02M412,M412,Locker Replacement,Public School,333 West 17th Street,,,100000,100000,40.74213,-74.0022,3,104
766,2018,1007410010,N.Y.C. Lab School for Collaborative Studies,02M412,M412,Computer Lab/Classroom Technology Upgrade,Public School,"333 West 17th Street, 3rd floor, NY, NY 10011",,,100000,100000,40.74213,-74.0022,3,104
